"","Region","CityProvince","count","cityPop","Area","average","cityLand","density"
"1","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MARAWI CITY (Capital)",96,201785,36650.95,0.871873587553822,313.255982905983,644.153698608085
"2","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","PARANG",65,151366,36650.95,0.871873587553822,313.255982905983,483.20226351568
"3","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","JOLO (Capital)",8,125564,36650.95,0.871873587553822,313.255982905983,400.835121599849
"4","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","BONGAO (Capital)",35,100527,36650.95,0.871873587553822,313.255982905983,320.910071908095
"5","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","DATU ODIN SINSUAT (DINAIG)",34,99210,36650.95,0.871873587553822,313.255982905983,316.705842549784
"6","CORDILLERA ADMINISTRATIVE REGION","BAGUIO CITY",129,345366,19818.12,0.471444679686942,257.378181818182,1341.86199296401
"7","CORDILLERA ADMINISTRATIVE REGION","LA TRINIDAD (Capital)",16,129133,19818.12,0.471444679686942,257.378181818182,501.724734737705
"8","CORDILLERA ADMINISTRATIVE REGION","CITY OF TABUK (Capital)",42,110642,19818.12,0.471444679686942,257.378181818182,429.881038161036
"9","CORDILLERA ADMINISTRATIVE REGION","ITOGON",9,59820,19818.12,0.471444679686942,257.378181818182,232.420633238672
"10","CORDILLERA ADMINISTRATIVE REGION","BANGUED (Capital)",31,48163,19818.12,0.471444679686942,257.378181818182,187.129303889572
"11","MIMAROPA REGION","PUERTO PRINCESA CITY (CAPITAL)",66,255116,29606.25,0.704290268097153,435.386029411765,585.953573991978
"12","MIMAROPA REGION","SAN JOSE",43,154311,29606.25,0.704290268097153,435.386029411765,354.423407219759
"13","MIMAROPA REGION","CITY OF CALAPAN (Capital)",62,133893,29606.25,0.704290268097153,435.386029411765,307.527093096897
"14","MIMAROPA REGION","ROXAS",51,118559,29606.25,0.704290268097153,435.386029411765,272.307772852016
"15","MIMAROPA REGION","NAUJAN",70,102998,29606.25,0.704290268097153,435.386029411765,236.567076208571
"16","NATIONAL CAPITAL REGION","QUEZON CITY",142,2936116,619.54,0.0147379689321312,36.4435294117647,80566.1813603641
"17","NATIONAL CAPITAL REGION","CITY OF MANILA",897,1780148,619.54,0.0147379689321312,36.4435294117647,48846.7508151209
"18","NATIONAL CAPITAL REGION","CALOOCAN CITY",188,1583978,619.54,0.0147379689321312,36.4435294117647,43463.9022500565
"19","NATIONAL CAPITAL REGION","TAGUIG CITY",28,804915,619.54,0.0147379689321312,36.4435294117647,22086.6368596055
"20","NATIONAL CAPITAL REGION","CITY OF PASIG",30,755300,619.54,0.0147379689321312,36.4435294117647,20725.2154824547
"21","NEGROS ISLAND REGION","BACOLOD CITY (Capital)",61,561875,13425.4,0.319371030282846,235.533333333333,2385.54344749505
"22","NEGROS ISLAND REGION","CITY OF KABANKALAN",32,181977,13425.4,0.319371030282846,235.533333333333,772.616756297764
"23","NEGROS ISLAND REGION","BAGO CITY",24,170981,13425.4,0.319371030282846,235.533333333333,725.931219926408
"24","NEGROS ISLAND REGION","CADIZ CITY",22,154723,13425.4,0.319371030282846,235.533333333333,656.904896688367
"25","NEGROS ISLAND REGION","SAGAY CITY",25,146264,13425.4,0.319371030282846,235.533333333333,620.990659496179
"26","REGION I - ILOCOS","SAN CARLOS CITY",86,188571,12964.62,0.308409734281704,108.946386554622,1730.86052657155
"27","REGION I - ILOCOS","DAGUPAN CITY",31,171271,12964.62,0.308409734281704,108.946386554622,1572.06682494358
"28","REGION I - ILOCOS","CITY OF URDANETA",34,132940,12964.62,0.308409734281704,108.946386554622,1220.23321933076
"29","REGION I - ILOCOS","MALASIQUI",73,130275,12964.62,0.308409734281704,108.946386554622,1195.77164621871
"30","REGION I - ILOCOS","CITY OF SAN FERNANDO (Capital)",59,121812,12964.62,0.308409734281704,108.946386554622,1118.09123599458
"31","REGION II - CAGAYAN VALLEY","TUGUEGARAO CITY (Capital)",79,211161,29836.88,0.709776625353855,327.877802197802,644.023470282416
